method,setting,n,reps,truth,bias,variance,IQR
DR,A,1000,100,1.0,-0.013844505089760751,0.01792492193729178,0.16014615125103804
DR.o&pfal,A,1000,100,1.0,-0.4004446772167439,0.06427012679021951,0.30464067862191146
DR.ofal,A,1000,100,1.0,-0.017617296336827633,0.05120044984051502,0.2828032167730522
DR.pfal,A,1000,100,1.0,-0.015517523240655815,0.01761280737183651,0.14936030511003484
IPW,A,1000,100,1.0,-0.011819099419463477,0.04737820431995698,0.2882143080967916
IPW.fal,A,1000,100,1.0,-0.519829897100408,0.04526485796057809,0.25020064536036624
OR,A,1000,100,1.0,-0.013594532919411706,0.01747721163745123,0.15636228558095788
OR.fal,A,1000,100,1.0,-0.32820906593159344,0.0546105017328976,0.28364231768278336
