method,setting,n,reps,truth,bias,variance,IQR
DR,B,1000,100,2.0,0.015052953693571298,0.0470236949117316,0.24488999941771272
DR.o&pfal,B,1000,100,2.0,0.32459099717493073,0.0894476543071204,0.399912241564107
DR.ofal,B,1000,100,2.0,-0.008569499269145502,0.09140281877059331,0.4438415182003328
DR.pfal,B,1000,100,2.0,0.009223041460773698,0.045667123063994786,0.2761343786759254
IPW,B,1000,100,2.0,0.0031567308923035366,0.09212369523392086,0.4256852025951128
IPW.fal,B,1000,100,2.0,-0.21890926574701608,0.1079724993438821,0.5027563389371277
OR,B,1000,100,2.0,-0.00047141773939323394,0.038117698619974195,0.24865158094226825
OR.fal,B,1000,100,2.0,-1.5707581185530117,0.03445220645987943,0.19455477552210487
